Stall,Cuisine,Location,Breakfast Hours
McDonald's,Fast Food,North Spine Level 1,11:00
Starbucks,Coffee,North Spine Level 1,
Long John Silver's,Fast Food,North Spine Level 1,
Pizza Hut,Fast Food,North Spine Level 1,
KFC,Fast Food,North Spine Level 1,11:00
Subway,Fast Food,North Spine Level 1,11:00
Mini Wok,Chinese,North Spine Food Court,
Yong Tau Foo,Chinese,North Spine Food Court,
Chicken Rice,Chinese,North Spine Food Court,
Handmade Noodles,Chinese,North Spine Food Court,
Mixed Rice,Chinese,North Spine Food Court,
Western,Western,North Spine Food Court,
Cantonese Roast Duck,Chinese,North Spine Food Court,
Hot Beverages,Drinks,North Spine Food Court,
Soup Delight,Chinese,North Spine Food Court,
Malay BBQ,Malay,North Spine Food Court,
Vegetarian Food,Vegetarian,North Spine Food Court,
Indian,Indian,North Spine Food Court,
Salad,Salad,North Spine Food Court,
Mala Hot Pot,Chinese,North Spine Food Court,
BBQ Delight,Western,North Spine Food Court,
Italian Pasta,Western,North Spine Food Court,
Vietnamese Cuisine,Asian,North Spine Food Court,
Japanese Korean Delight,Asian,North Spine Food Court,
Xi'an Mei Shi,Chinese,North Spine Food Court,
